word,definition
tufted,having or adorned with tufts
unadorned,not decorated with something to increase its beauty or distinction
untufted,not adorned with tufts
adroit,quick or skillful or adept in action or thought
clever,showing inventiveness and skill
cunning,showing inventiveness and skill
ingenious,showing inventiveness and skill
dexterous,skillful in physical movements; especially of the hands
dextrous,skillful in physical movements; especially of the hands
maladroit,not adroit
bumbling,"lacking physical movement skills, especially with the hands"
bungling,"lacking physical movement skills, especially with the hands"
ham-fisted,"lacking physical movement skills, especially with the hands"
ham-handed,"lacking physical movement skills, especially with the hands"
handless,"lacking physical movement skills, especially with the hands"
tactless,revealing lack of perceptiveness or judgment or finesse
favorable,giving an advantage
favourable,giving an advantage
beneficial,promoting or enhancing well-being
positive,involving advantage or good
negative,involving disadvantage or harm
audacious,disposed to venture or take risks
daring,disposed to venture or take risks
venturous,disposed to venture or take risks
sporting,involving risk or willingness to take a risk
swaggering,flamboyantly adventurous
advisable,worthy of being recommended or suggested; prudent or wise
better,(comparative and superlative of ‘well’) wiser or more advantageous and hence advisable
advised,having the benefit of careful prior consideration or counsel
considered,carefully weighed
unadvised,without careful prior deliberation or counsel
aerobic,depending on free oxygen or air
aerophilic,depending on free oxygen or air
aerobiotic,living or active only in the presence of oxygen
oxidative,taking place in the presence of oxygen
anaerobic,living or active in the absence of free oxygen
aerobic,based on or using the principles of aerobics; enhancing respiratory and circulatory efficiency
anaerobic,not aerobic
aesthetic,concerning or characterized by an appreciation of beauty or good taste
esthetic,concerning or characterized by an appreciation of beauty or good taste
esthetical,concerning or characterized by an appreciation of beauty or good taste
artistic,satisfying aesthetic standards and sensibilities
cosmetic,serving an aesthetic purpose in beautifying the body
enhancive,serving an aesthetic purpose in beautifying the body
painterly,having qualities unique to the art of painting
sensuous,taking delight in beauty
inartistic,lacking aesthetic sensibility
unartistic,lacking aesthetic sensibility
affected,acted upon; influenced
impressed,deeply or markedly affected or influenced
smitten,(used in combination) affected by something overwhelming
stricken,(used in combination) affected by something overwhelming
struck,(used in combination) affected by something overwhelming
subject,likely to be affected by something
unaffected,undergoing no change when acted upon
immune,(usually followed by ‘to’) not affected by a given influence
superior,(often followed by ‘to’) above being affected or influenced by
unswayed,not influenced or affected
untouched,not influenced or affected
affected,speaking or behaving in an artificial way to make an impression
unnatural,speaking or behaving in an artificial way to make an impression
agonistic,struggling for effect
strained,struggling for effect
artificial,artificially formal
contrived,artificially formal
stilted,artificially formal
forced,lacking spontaneity; not natural
strained,lacking spontaneity; not natural
mannered,having unnatural mannerisms
plummy,(of a voice) affectedly mellow and rich
unaffected,free of artificiality; sincere and genuine
lifelike,free from artificiality
natural,free from artificiality
unmannered,without artificiality; natural
unstilted,flowing naturally and continuously
assentient,expressing agreement or consent
assenting,expressing agreement or consent
negative,expressing or consisting of a negation or refusal or denial
dissenting,"disagreeing, especially with a majority"
dissident,"disagreeing, especially with a majority"
acceptive,inclined to accept rather than reject
accepting,tolerating without protest
rejective,rejecting or tending to reject
dismissive,stopping to associate with
afloat,borne on the water; floating
adrift,afloat on the surface of a body of water
floating,borne up by or suspended in a liquid
waterborne,supported by water
aground,stuck in a place where a ship can no longer float
afraid,filled with fear or apprehension
acrophobic,suffering from acrophobia; abnormally afraid of high places
afeard,a pronunciation of afraid
afeared,a pronunciation of afraid
aghast,"struck with fear, dread, or consternation"
appalled,"struck with fear, dread, or consternation"
dismayed,"struck with fear, dread, or consternation"
shocked,"struck with fear, dread, or consternation"
alarmed,experiencing a sudden sense of danger
algophobic,suffering from algophobia; abnormally afraid of pain
hangdog,frightened into submission or compliance
fearful,experiencing or showing fear
frightened,made afraid
scared,made afraid
horrified,stricken with horror
hunted,reflecting the fear or terror of one who is hunted
aquaphobic,abnormally afraid of water
mysophobic,suffering from mysophobia; abnormally afraid of dirt or contamination
panicky,thrown into a state of intense fear or desperation
panicked,thrown into a state of intense fear or desperation
terrified,thrown into a state of intense fear or desperation
frightened,thrown into a state of intense fear or desperation
unnerved,deprived of courage and strength
xenophobic,suffering from xenophobia; having abnormal fear or hatred of the strange or foreign
unafraid,oblivious of dangers or perils or calmly resolute in facing them
fearless,oblivious of dangers or perils or calmly resolute in facing them
unblinking,not shrinking from danger
aggressive,having or showing determination and energetic pursuit of your ends
battleful,having or showing a ready disposition to fight
bellicose,having or showing a ready disposition to fight
combative,having or showing a ready disposition to fight
militant,showing a fighting disposition
hostile,unsolicited and resisted by the management of the target company (used of attempts to buy or take control of a business)
predatory,living by preying on other animals especially by catching living prey
rapacious,living by preying on other animals especially by catching living prey
raptorial,living by preying on other animals especially by catching living prey
ravening,living by preying on other animals especially by catching living prey
vulturine,living by preying on other animals especially by catching living prey
vulturous,living by preying on other animals especially by catching living prey
pugnacious,ready and able to resort to force or violence
scrappy,full of fighting spirit
truculent,defiantly aggressive
agitated,troubled emotionally and usually deeply
berserk,wildly frenzied and out of control
aroused,(of persons) excessively affected by emotion
emotional,(of persons) excessively affected by emotion
excited,(of persons) excessively affected by emotion
worked up,(of persons) excessively affected by emotion
distraught,deeply agitated especially from emotion
jolted,disturbed psychologically as if by a physical jolt or shock
shaken,disturbed psychologically as if by a physical jolt or shock
feverish,marked by intense agitation or emotion
hectic,marked by intense agitation or emotion
frantic,excessively agitated; distraught with fear or other violent emotion
frenetic,excessively agitated; distraught with fear or other violent emotion
phrenetic,excessively agitated; distraught with fear or other violent emotion
frenzied,excessively agitated; distraught with fear or other violent emotion
hysterical,marked by excessive or uncontrollable emotion
wild-eyed,appearing extremely agitated
unagitated,not agitated or disturbed emotionally
agitated,physically disturbed or set in motion
churning,(of a liquid) agitated vigorously; in a state of turbulence
roiling,(of a liquid) agitated vigorously; in a state of turbulence
roiled,(of a liquid) agitated vigorously; in a state of turbulence
turbulent,(of a liquid) agitated vigorously; in a state of turbulence
churning,moving with or producing or produced by vigorous agitation
churned-up,moving with or producing or produced by vigorous agitation
jolted,bumped or shaken jerkily
rippled,shaken into waves or undulations as by wind
ruffled,shaken into waves or undulations as by wind
seething,in constant agitation
stirred,set into a usually circular motion in order to mix or blend
unagitated,not physically disturbed or set in motion
unstirred,not agitated by stirring
agreeable,conforming to your own liking or feelings or nature
annoying,causing irritation or annoyance
bothersome,causing irritation or annoyance
galling,causing irritation or annoyance
irritating,causing irritation or annoyance
nettlesome,causing irritation or annoyance
pestering,causing irritation or annoyance
plaguy,causing irritation or annoyance
plaguey,causing irritation or annoyance
teasing,causing irritation or annoyance
vexatious,causing irritation or annoyance
vexing,causing irritation or annoyance
dreadful,extremely disagreeable and unpleasant
abrasive,sharply disagreeable; rigorous
stressful,extremely irritating to the nerves
trying,extremely irritating to the nerves
unsweet,distasteful
air-to-air,operating between or launched from or involving rockets or aircraft in flight
watchful,engaged in or accustomed to close observation
argus-eyed,carefully observant or attentive; on the lookout for possible danger
open-eyed,carefully observant or attentive; on the lookout for possible danger
vigilant,carefully observant or attentive; on the lookout for possible danger
wakeful,carefully observant or attentive; on the lookout for possible danger
watchful,carefully observant or attentive; on the lookout for possible danger
heads-up,fully alert and watchful
wide-awake,fully alert and watchful
lidless,always watchful
sleepless,always watchful
unalert,not alert to what is potentially dangerous
unwatchful,not alert to what is potentially dangerous
unvigilant,not alert to what is potentially dangerous
recursive,of or relating to a recursion
heuristic,of or relating to or using a general formulation that serves to guide investigation
alienable,transferable to another owner
assignable,legally transferable to the ownership of another
conveyable,legally transferable to the ownership of another
negotiable,legally transferable to the ownership of another
absolute,not capable of being violated or infringed
inviolable,not capable of being violated or infringed
liveborn,(of newborn infant) showing signs of life after birth; not stillborn
viable,capable of life or normal growth and development
asleep,dead
at peace,dead
at rest,dead
deceased,dead
departed,dead
bloodless,destitute of blood or apparently so
exsanguine,destitute of blood or apparently so
brain dead,having irreversible loss of brain function as indicated by a persistent flat electroencephalogram
breathless,appearing dead; not breathing or having no perceptible pulse
inanimate,appearing dead; not breathing or having no perceptible pulse
pulseless,appearing dead; not breathing or having no perceptible pulse
d.o.a.,abbreviation for ‘dead on arrival’ at the emergency room
deathlike,having the physical appearance of death
deathly,having the physical appearance of death
defunct,having ceased to exist or live
doomed,marked for certain death
executed,put to death as punishment
fallen,killed in battle
lifeless,deprived of life; no longer living
exanimate,deprived of life; no longer living
murdered,killed unlawfully
nonviable,not capable of living or developing successfully
stillborn,(of newborn infant) showing no signs of life at birth; not liveborn
stone-dead,as lifeless as a stone
apocrine,(of exocrine glands) producing a secretion in which part of the secreting cell is released with the secretion
eccrine,(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature
artesian,(of water) rising to the surface under internal hydrostatic pressure
living,(used of minerals or stone) in its natural state and place; not mined or quarried
extinct,being out or having grown cold
lifeless,not having the capacity to support life
alphabetic,arranged in order according to the alphabet
altricial,(of hatchlings) naked and blind and dependent on parents for food
precocial,(of hatchlings) covered with down and having eyes open; capable of leaving the nest within a few days
altruistic,showing unselfish concern for the welfare of others
selfless,showing unselfish concern for the welfare of others
ambiguous,having more than one possible meaning
enigmatic,resembling an oracle in obscurity of thought
oracular,resembling an oracle in obscurity of thought
polysemous,of words; having many meanings
uncertain,ambiguous (especially in the negative)
monosemous,having only one meaning
ambitious,having a strong desire for success or achievement
pushful,marked by aggressive ambition and energy and initiative
aspirant,desiring or striving for recognition or advancement
aspiring,desiring or striving for recognition or advancement
wishful,desiring or striving for recognition or advancement
compulsive,strongly motivated to succeed
determined,strongly motivated to succeed
driven,strongly motivated to succeed
manque,unfulfilled or frustrated in realizing an ambition
would-be,unfulfilled or frustrated in realizing an ambition
shiftless,lacking or characterized by lack of ambition or initiative
ametropic,of or relating to an abnormal condition of the eye in which visual images are not in focus on the retina
emmetropic,of or relating to the normal condition of the eye in which visual images are in clear focus on the retina
generous,more than is usual or necessary
wide-cut,having ample fabric
meager,deficient in amount or quality or extent
meagre,deficient in amount or quality or extent
meagerly,deficient in amount or quality or extent
stingy,deficient in amount or quality or extent
scrimpy,deficient in amount or quality or extent
scanty,lacking in magnitude or quantity
exiguous,extremely scanty
measly,contemptibly small in amount
miserable,contemptibly small in amount
paltry,contemptibly small in amount
anabolic,characterized by or promoting constructive metabolism
catabolic,characterized by destructive metabolism
katabolic,characterized by destructive metabolism
anaclinal,of valleys and rivers; progressing in a direction opposite to the dip in surrounding rock strata
cataclinal,of valleys and rivers; running in the direction of the dip in surrounding rock strata
stigmatic,not astigmatic
astigmatic,of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images
anticlinal,sloping downward away from a common crest
synclinal,sloping downward toward each other to create a trough
anadromous,migrating from the sea to fresh water to spawn
diadromous,(used of fish) migratory between fresh and salt waters
anabatic,of an air current or wind; rising especially up a slope
katabatic,of an air current or wind; moving downward or down a slope because of cooling especially at night
catabatic,of an air current or wind; moving downward or down a slope because of cooling especially at night
analogue,of a circuit or device having an output that is proportional to the input
analog,of a circuit or device having an output that is proportional to the input
linear,of a circuit or device having an output that is proportional to the input
digital,of a circuit or device that represents magnitudes in digits
analytic,of a proposition that is necessarily true independent of fact or experience
analytical,of a proposition that is necessarily true independent of fact or experience
synthetic,of a proposition whose truth value is determined by observation or facts
analytic,expressing a grammatical category by using two or more words rather than inflection
isolating,relating to or being a language in which each word typically expresses a distinct idea and part of speech and syntactical relations are determined almost exclusively by word order and particles
synthetic,systematic combining of root and modifying elements into single words
analytic,"using or skilled in using analysis (i.e., separating a whole — intellectual or substantial — into its elemental parts or basic principles)"
analytical,"using or skilled in using analysis (i.e., separating a whole — intellectual or substantial — into its elemental parts or basic principles)"
synthetic,involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
apocarpous,(of ovaries of flowering plants) consisting of carpels that are free from one another as in buttercups or roses
syncarpous,(of ovaries of flowering plants) consisting of united carpels
aggravated,"incited, especially deliberately, to anger"
provoked,"incited, especially deliberately, to anger"
angered,marked by extreme anger
enraged,marked by extreme anger
furious,marked by extreme anger
infuriated,marked by extreme anger
maddened,marked by extreme anger
choleric,characterized by anger
irascible,characterized by anger
indignant,angered at something unjust or wrong
incensed,angered at something unjust or wrong
outraged,angered at something unjust or wrong
umbrageous,angered at something unjust or wrong
ireful,feeling or showing extreme anger
smoldering,showing scarcely suppressed anger
wrathful,vehemently incensed and condemnatory
wrothful,vehemently incensed and condemnatory
unangry,not angry
resentful,full of or marked by resentment or indignant ill will
bitter,marked by strong resentment or cynicism
rancorous,showing deep-seated resentment
unbitter,having or showing no resentment or desire for revenge
sentient,endowed with feeling and unstructured consciousness
animate,endowed with feeling and unstructured consciousness
sensate,having physical sensation
insentient,devoid of feeling and consciousness and animation
insensate,devoid of feeling and consciousness and animation
unfeeling,devoid of feeling or sensation
animate,endowed with animal life as distinguished from plant life
inanimate,not endowed with life
nonliving,not endowed with life
non-living,not endowed with life
animated,having life or vigor or spirit
enlivened,made lively or spirited
spirited,made lively or spirited
lively,full of spirit; full of life
reanimated,given fresh life or vigor or spirit
revived,given fresh life or vigor or spirit
unanimated,not animated or enlivened; dull
lifeless,lacking animation or excitement or activity
enlivened,made sprightly or cheerful
perked up,made or become more cheerful or lively
animate,belonging to the class of nouns that denote living beings
inanimate,belonging to the class of nouns denoting nonliving things
anonymous,having no known name or identity or known source
nameless,being or having an unknown or unnamed source
unknown,being or having an unknown or unnamed source
unnamed,being or having an unknown or unnamed source
onymous,bearing a name
binomial,"having or characterized by two names, especially those of genus and species in taxonomies"
binominal,"having or characterized by two names, especially those of genus and species in taxonomies"
antemortem,preceding death
postmortem,occurring or done after death
postmortal,occurring or done after death
antecedent,preceding in time or order
anterior,earlier in time
prevenient,in anticipation
subsequent,following in time or order
attendant,occurring with or following as a consequence
consequent,occurring with or following as a consequence
incidental,occurring with or following as a consequence
ensuant,occurring with or following as a consequence
resultant,occurring with or following as a consequence
sequent,occurring with or following as a consequence
collateral,occurring with or following as a consequence
ulterior,coming at a subsequent time or stage
posterior,coming at a subsequent time or stage
antrorse,bent or curved forward or upward
retrorse,bent or curved backward or downward
decurved,bent down or curved downward
aquatic,operating or living or growing in water
marine,native to or inhabiting the sea
subaquatic,partially aquatic; living or growing partly on land and partly in water
subaqueous,growing or remaining under water
subaquatic,growing or remaining under water
submerged,growing or remaining under water
submersed,growing or remaining under water
underwater,growing or remaining under water
onshore,on the edge of the land
overland,traveling or passing over land
amphibious,operating or living on land and in water
preceding,existing or coming before
foregoing,especially of writing or speech; going before
prefatory,serving as an introduction or preface
precedent,"preceding in time, order, or significance"
premedical,preceding and preparing for the study of medicine
previous,just preceding something else in time or order
succeeding,coming after or following
ensuing,following immediately and as a result of what went before
following,about to be mentioned or specified
following,immediately following in time or order
next,immediately following in time or order
next,(of a day of the week) nearest (or nearest but one) after the present moment
in line,being next in a line of succession
postmortem,after death or after an event
unexampled,having no previous example or precedent or parallel
prehensile,adapted for grasping especially by wrapping around an object
prenatal,occurring or existing before birth
antenatal,occurring or existing before birth
antepartum,occurring or existing before birth
perinatal,occurring during the period around birth (5 months before and 1 month after)
postnatal,occurring immediately after birth
postpartum,occurring immediately after birth
prewar,existing or belonging to a time before a war
postwar,belonging to the period after a war
retrograde,of amnesia; affecting time immediately preceding trauma
anterior,of or near the head end or toward the front plane of a body
frontal,belonging to the front part
frontal,of or adjacent to the forehead or frontal bone
prefrontal,anterior to a frontal structure
