word,definition
rough,ready and able to resort to force or violence
amuck,wildly frenzied and out of control
amok,wildly frenzied and out of control
roily,(of a liquid) agitated vigorously; in a state of turbulence
pesky,causing irritation or annoyance
harsh,sharply disagreeable; rigorous
alert,engaged in or accustomed to close observation
fly,(British informal) not to be deceived or hoodwinked
alive,possessing life
live,possessing life
vital,manifesting or characteristic of life
dead,no longer having or seeming to have or expecting to have life
gone,dead
cold,lacking the warmth of life
late,having died recently
slain,killed; ‘slain’ is formal or literary as in ‘slain warriors’
live,exerting force or containing energy
dead,not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat
out,being out or having grown cold
pushy,marked by aggressive ambition and energy and initiative
ample,more than enough in size or scope or capacity
full,having the normally expected amount
good,having the normally expected amount
wide,having ample fabric
full,having ample fabric
bare,lacking in magnitude or quantity
spare,lacking in magnitude or quantity
anal,"a stage in psychosexual development when the child's interest is concentrated on the anal region; fixation at this stage is said to result in orderliness, meanness, stubbornness, compulsiveness, etc."
oral,"a stage in psychosexual development when the child's interest is concentrated in the mouth; fixation at this stage is said to result in dependence, selfishness, and aggression"
angry,feeling or showing anger
black,marked by anger or resentment or hostility
huffy,roused to anger
mad,roused to anger
sore,roused to anger
irate,feeling or showing extreme anger
livid,furiously angry
wroth,vehemently incensed and condemnatory
alive,having life or vigor or spirit
vital,full of spirit; full of life
wan,lacking vitality as from weariness or illness or unhappiness
anon.,having no known name or identity or known source
prior,earlier in time
later,coming at a subsequent time or stage
above,appearing earlier in the same text
old,just preceding something else in time or order
new,having no previous example or precedent or parallel
back,located at or near the back of an animal
hind,located at or near the back of an animal
pat,exactly suited to the occasion
right,"appropriate for a condition or purpose or occasion or a person's character, needs"
wrong,not appropriate for a purpose or occasion
due,owed and payable immediately or on demand
cod,payable by the recipient on delivery
undue,not yet payable
due,suitable to or expected in the circumstances
undue,not appropriate or proper (or even legal) in the circumstances
apt,being of striking appropriateness and pertinence
sandy,resembling or containing or abounding in sand; or growing in sandy areas
armed,(used of persons or the military) characterized by having or bearing arms
clean,not carrying concealed weapons
armed,(used of plants and animals) furnished with bristles and thorns
burry,having or covered with protective barbs or quills or spines or thorns or setae etc.
spiny,having or covered with protective barbs or quills or spines or thorns or setae etc.
armed,having arms or arms as specified; used especially in combination
scaly,"having the body covered or partially covered with thin horny plates, as some fish and reptiles"
dodgy,marked by skill in deception
slick,marked by skill in deception
sly,marked by skill in deception
wily,marked by skill in deception
cute,obviously contrived to charm
deep,exhibiting great cunning usually with secrecy
pawky,cunning and sly
dumb,unable to speak because of hereditary deafness
mute,unable to speak because of hereditary deafness
dumb,lacking the power of human speech
mute,expressed without speech
dumb,temporarily incapable of speaking
cocky,overly self-confident or self-assertive
glued,affixed or as if affixed with glue or paste
loose,not affixed
stuck,caught or fixed
wary,marked by keen caution and watchful prudence
shy,wary and distrustful; disposed to avoid persons or things
rapt,giving or marked by complete attention to
moony,dreamy in mood or nature
cute,attractive especially by means of smallness or prettiness or quaintness
dinky,(British informal) pretty and neat
showy,superficially attractive and stylish; suggesting wealth or expense
plain,lacking in physical beauty or proportion
due,capable of being assigned or credited to
big,in an advanced stage of pregnancy
great,in an advanced stage of pregnancy
large,in an advanced stage of pregnancy
heavy,in an advanced stage of pregnancy
sonic,relating to audible sound
sonic,(of speed) having or caused by speed approximately equal to that of sound in air at sea level
rosy,presaging good fortune
lucky,presaging or likely to bring good luck or a good outcome
ill,presaging ill fortune
smart,capable of independent and apparently intelligent action
easy,less in demand and therefore readily obtainable
open,not having been filled
ready,(of especially money) immediately available
gone,used up or no longer available
awake,not in a state of sleep; completely conscious
astir,out of bed
up,out of bed
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception
alert,mentally perceptive and responsive
alive,mentally perceptive and responsive
awake,mentally perceptive and responsive
ugly,provoking horror
awful,causing fear or dread or terror
dire,causing fear or dread or terror
dread,causing fear or dread or terror
scary,provoking fear or terror
grim,shockingly repellent; inspiring horror
sick,shockingly repellent; inspiring horror
hairy,hazardous and frightening
back,related to or located at the back
rear,located in or toward the back or rear
front,relating to or located in the front
blate,disposed to avoid notice
brash,offensively bold
nervy,offensively bold
fresh,improperly forward or bold
smart,improperly forward or bold
saucy,improperly forward or bold
sassy,improperly forward or bold
wise,improperly forward or bold
ferny,abounding in or covered with ferns
braky,abounding with bracken
ferny,resembling ferns especially in leaf shape
sedgy,covered with sedges (grasslike marsh plants)
bald,lacking hair on all or most of the scalp
hairy,having or covered with hair
hoary,covered with fine whitish hairs or down
comal,of certain seeds (such as cotton) having a tuft or tufts of hair
downy,covered with fine soft hairs or down
furry,covered with a dense coat of fine silky hairs
wiry,of hair that resembles wire in stiffness
wooly,covered with dense often matted or curly hairs
awned,having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses
awny,having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses
bonny,very pleasing to the eye
fair,very pleasing to the eye
dishy,(informal British) sexually attractive
ugly,displeasing to the senses
fugly,(slang) extremely ugly
evil,having or exerting a malignant influence
catty,marked by or arising from malice
best,(superlative of ‘good’) having the most positive qualities
first,ranking above all others
primo,the best of its kind
worst,(superlative of ‘bad’) most wanting in quality or value or condition
last,lowest in rank or importance
finer,(comparative of ‘fine’) greater in quality or excellence
worse,(comparative of ‘bad’) inferior to another in quality or condition or desirability
worse,changed for the worse in health or fitness
faced,having a face or facing especially of a specified kind or number; often used in combination
mono,designating sound transmission or recording or reproduction over a single channel
biped,having two feet
black,of or belonging to a racial group especially of sub-Saharan African origin
negro,having skin rich in melanin pigments;
white,of or belonging to a racial group having light skin coloration
blond,being or having light colored skin and hair and usually blue or grey eyes
fair,(used of hair or skin) pale or light-colored
sandy,of hair color; pale yellowish to yellowish brown
adust,burned brown by the sun
brown,(of skin) deeply suntanned
dark,brunet (used of hair or skin or eyes)
dusky,naturally having skin of a dark color
swart,naturally having skin of a dark color
acned,(of complexion) blemished by imperfections of the skin
gory,covered with blood
red,characterized by violence or bloodshed
gory,accompanied by bloodshed
bold,fearless and daring
brave,invulnerable to fear or intimidation
hardy,invulnerable to fear or intimidation
heady,marked by defiant disregard for danger or consequences
rash,marked by defiant disregard for danger or consequences
nervy,showing or requiring courage and contempt of danger
timid,showing fear and lack of confidence
coy,modestly or warily rejecting approaches or overtures
mousy,quiet and timid and ineffectual
bound,confined by bonds
tied,bound or secured closely
wired,tied or bound with wire
laced,closed with a lace
tied,closed with a lace
tied,fastened with strings or cords
afoul,especially of a ship's lines etc
foul,especially of a ship's lines etc
bound,secured with a cover or binding; often used as a combining form
cased,enclosed in a case
edged,having a specified kind of border or edge
lined,bordered by a line of things
lotic,of or relating to or living in actively moving water
non-U,not characteristic of the upper classes especially in language use
u,(chiefly British) of or appropriate to the upper classes especially in language use
brave,possessing or displaying courage; able to face and deal with danger or fear without flinching
game,willing to face danger
gamy,willing to face danger
gamey,willing to face danger
faint,lacking conviction or boldness or courage
timid,lacking conviction or boldness or courage
funky,in a state of cowardly fright
gutsy,marked by courage and determination in the face of difficulties or danger; robust and uninhibited
blown,breathing laboriously or convulsively
pursy,breathing laboriously or convulsively
light,characterized by or emitting light
lit,provided with artificial light
livid,(of a light) imparting a deathlike luminosity
white,of summer nights in northern latitudes where the sun barely sets
dark,devoid of or deficient in light or brightness; shadowed or black
black,extremely dark
dim,lacking in light; not bright or harsh
dusky,lighted by or as if by twilight
sulky,depressingly dark
unlit,without illumination
murky,dark or gloomy
mirky,dark or gloomy
shady,filled with shade
moony,lighted by moonlight
nitid,bright with a steady but subdued shining
aglow,softly bright or radiant
beady,small and round and shiny like a shiny bead or button
beamy,radiating or as if radiating light
glary,shining intensely
shiny,reflecting light
lurid,shining with an unnatural red glow as of fire seen through smoke
sleek,"having a smooth, gleaming surface reflecting light; being of a smooth, soft and lustrous quality, resembling silk"
silky,"having a smooth, gleaming surface reflecting light; being of a smooth, soft and lustrous quality, resembling silk"
slick,"having a smooth, gleaming surface reflecting light; being of a smooth, soft and lustrous quality, resembling silk"
dull,emitting or reflecting very little light
flat,not reflecting light; not glossy
mat,not reflecting light; not glossy
matt,not reflecting light; not glossy
matte,not reflecting light; not glossy
soft,not brilliant or glaring
dim,made dim or less bright
broad,showing or characterized by broad-mindedness
petty,contemptibly narrow in outlook
kept,(especially of promises or contracts) not violated or disregarded
solid,uninterrupted in space; having no gaps or breaks
busy,actively or fully engaged or occupied
up to,busy or occupied with
idle,not in action or at work
bony,having bones especially many or prominent bones
boney,having bones especially many or prominent bones
bone,consisting of or made up of bone
boned,having bones as specified
boned,having had the bones removed
raspy,unpleasantly harsh or grating in sound
rough,unpleasantly harsh or grating in sound
gruff,deep and harsh sounding as if from shouting or illness or emotion
husky,deep and harsh sounding as if from shouting or illness or emotion
calm,(of weather) free from storm or wind
still,(of a body of water) free from disturbance by heavy waves
angry,(of the elements) as if showing violent anger
wild,(of the elements) as if showing violent anger
rough,violently agitated and turbulent
blowy,abounding in or exposed to the wind or breezes
windy,abounding in or exposed to the wind or breezes
dirty,unpleasantly stormy
gusty,blowing in puffs or short intermittent blasts
puffy,blowing in puffs or short intermittent blasts
able,having inherent physical or mental ability or capacity
sure,exercising or taking care great enough to bring assurance
close,rigorously attentive; strict and thorough
basal,especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem
fast,(of a photographic lens or emulsion) causing a shortening of exposure time
motor,causing or able to cause motion
cagey,characterized by great caution and wariness
cagy,characterized by great caution and wariness
chary,characterized by great caution and wariness
focal,having or localized centrally at a focus
motor,conveying information to the muscles from the CNS
sure,impossible to doubt or dispute
sure,having or feeling no doubt or uncertainty; confident and assured
shy,lacking self-confidence
timid,lacking self-confidence
sure,certain to occur; destined or inevitable
bound,(usually followed by ‘to’) governed by fate
fated,(usually followed by ‘to’) determined by tragic fate
fluky,subject to accident or chance or change
iffy,subject to accident or chance or change
fatal,controlled or decreed by fate; predetermined
fluid,subject to change; variable
fluid,affording change (especially in social status)
final,not to be altered or undone
last,not to be altered or undone
same,unchanged in character or nature
hot,charged or energized with electricity
live,charged or energized with electricity
polar,having a pair of equal and opposite charges
dead,drained of electric charge; discharged
hired,hired for the exclusive temporary use of a group of travelers
owned,having an owner; often used in combination
pure,in a state of sexual virginity
easy,casual and unrestrained in sexual behavior
light,casual and unrestrained in sexual behavior
loose,casual and unrestrained in sexual behavior
glad,cheerful and bright
perky,characterized by liveliness and lightheartedness
gay,bright and pleasant; promoting a feeling of cheer
sunny,bright and pleasant; promoting a feeling of cheer
blue,causing dejection
dark,causing dejection
dingy,causing dejection
grim,causing dejection
sorry,causing dejection
drab,causing dejection
drear,causing dejection
amber,of a medium to dark brownish yellow color
gilt,having the deep slightly brownish color of gold
gold,having the deep slightly brownish color of gold
beige,of a light greyish-brown color
blae,of bluish-black or grey-blue
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky
teal,of a bluish shade of green
rosy,of blush color
brown,of a color similar to that of wood or earth
buff,of the yellowish-beige color of buff leather
coral,of a strong pink to yellowish-pink color
dun,of a dull greyish brown to brownish grey color
taupe,of something having a dusky brownish grey color
green,of the color between blue and yellow in the color spectrum; similar to the color of fresh grass
honey,of something having the color of honey
khaki,of a yellowish brown color
lilac,of a pale purple color
mauve,of a pale to moderate greyish violet color
mousy,of something having a drab pale brown color resembling a mouse
ocher,of a moderate orange-yellow color
ochre,of a moderate orange-yellow color
drab,of a light brownish green color
olive,of a yellow-green color similar to that of an unripe olive
pink,of a light shade of red
red,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
ruddy,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
ruby,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
rose,of something having a dusty purplish pink color
rust,of the brown color of rust
rusty,of the brown color of rust
sage,of the grey-green color of sage leaves
snuff,snuff colored; of a greyish to yellowish brown
stone,of any of various dull tannish or grey colors
straw,of a pale yellow color like straw; straw-colored
tan,of a light yellowish-brown color
tawny,of a light brown to brownish orange color; the color of tanned leather
umber,of the color of any of various natural brown earth pigments
ashy,of a light grey
sooty,of the blackest black; similar to the color of jet or coal
ebon,of a very dark black
ebony,of a very dark black
grey,of an achromatic color of any lightness intermediate between the extremes of white and black
gray,of an achromatic color of any lightness intermediate between the extremes of white and black
inky,of the color of black ink
sable,of a dark somewhat brownish black
slaty,of the color of slate or granite
snowy,of the white color of snow
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light
pure,(of color) being chromatically pure; not diluted with white or grey or black
vivid,(of color) having the highest saturation
dull,(of color) very low in saturation; highly diluted
color,having or capable of producing colors
red,(especially of the face) reddened or suffused with or as if with blood from emotion or exertion
bay,(used of animals especially a horse) of a moderate reddish-brown color
black,(of the face) made black especially as with suffused blood
liver,having a reddish-brown color
pied,having sections or patches colored differently and usually brightly
roan,(used of especially horses) having a brownish coat thickly sprinkled with white or grey
vivid,having strong or striking color
shot,varying in color when seen in different lights or from different angles
deep,strong; intense
rich,strong; intense
ashen,anemic looking from illness or emotion
livid,anemic looking from illness or emotion
white,anemic looking from illness or emotion
faded,having lost freshness or brilliance of color
washy,having lost freshness or brilliance of color
drab,lacking brightness or color; dull
sober,lacking brightness or color; dull
lurid,ghastly pale
pale,abnormally deficient in color as suggesting physical or emotional distress
wan,abnormally deficient in color as suggesting physical or emotional distress
pasty,resembling paste in color; pallid
white,(of hair) having lost its color
brave,brightly colored and showy
braw,brightly colored and showy
gay,brightly colored and showy
gaudy,(used especially of clothes) marked by conspicuous display
showy,(used especially of clothes) marked by conspicuous display
noisy,attracting attention by showiness or bright colors
pale,lacking in vitality or interest or effectiveness
light,(used of color) having a relatively small amount of coloring agent
pale,very light colored; highly diluted with white
dark,(used of color) having a dark hue
civil,of or in a condition of social order
wild,without civilizing influences
pop,(of music or art) new and of general appeal (especially among young people)
crude,not processed or subjected to analysis
raw,not processed or subjected to analysis
clean,free from dirt or impurities; or having clean habits
fresh,not yet used or soiled
spic,completely neat and clean
spick,completely neat and clean
dirty,soiled or likely to soil with dirt or grime
dingy,thickly covered with ingrained dirt or soot
grimy,thickly covered with ingrained dirt or soot
black,soiled with dirt or soot
buggy,infested with bugs
foul,disgustingly dirty; filled or smeared with offensive matter
nasty,disgustingly dirty; filled or smeared with offensive matter
oily,smeared or soiled with grease or oil
lousy,infested with lice
mucky,dirty and messy; covered with mud or muck
muddy,dirty and messy; covered with mud or muck
ratty,dirty and infested with rats
sooty,covered with or as if with soot
clean,(of behavior or especially language) free from objectionable elements; fit for all observers
dirty,(of behavior or especially language) characterized by obscenity or indecency
bawdy,humorously vulgar
blue,characterized by profanity or cursing
foul,characterized by obscenity
nasty,characterized by obscenity
lewd,suggestive of or tending to moral looseness
clean,not spreading pollution or contamination; especially radioactive contamination
dirty,spreading pollution or contamination; especially radioactive contamination
hot,having or dealing with dangerously high levels of radioactivity
clean,ritually clean or pure
halal,conforming to Muslim dietary laws
tref,not conforming to dietary laws
clear,readily apparent to the mind
broad,lacking subtlety; obvious
lucid,(of language) transparently clear; easily understandable
vivid,having the clarity and freshness of immediate experience
vague,not clearly expressed or understood
clear,allowing light to pass through
lucid,transmitting light; able to be seen through with clarity
muddy,(of liquids) clouded as with sediment
mirky,(of liquids) clouded as with sediment
murky,(of liquids) clouded as with sediment
foggy,obscured by fog
milky,resembling milk in color; not clear
solid,impenetrable for the eye
clear,free from confusion or doubt
wooly,confused and vague; used especially of thinking
silly,dazed from or as if from repeated blows
balmy,mild and pleasant
mild,mild and pleasant
soft,mild and pleasant
smart,showing mental alertness and calculation and resourcefulness
sharp,marked by practical hardheaded intelligence
cagey,showing self-interest and shrewdness in dealing with others
cagy,showing self-interest and shrewdness in dealing with others
canny,showing self-interest and shrewdness in dealing with others
dopy,having or revealing stupidity
dopey,having or revealing stupidity
goosy,having or revealing stupidity
inane,extremely silly or stupid
thick,(used informally) stupid
dense,slow to learn or understand; lacking intellectual acuity
dim,slow to learn or understand; lacking intellectual acuity
dull,slow to learn or understand; lacking intellectual acuity
dumb,slow to learn or understand; lacking intellectual acuity
slow,slow to learn or understand; lacking intellectual acuity
weak,deficient in intelligence or mental power
far,located at a great distance in time or space or degree
cold,of a seeker; far from the object sought
near,not far distant in time or space or degree or circumstances
close,not far distant in time or space or degree or circumstances
nigh,not far distant in time or space or degree or circumstances
warm,of a seeker; near to the object sought
hot,of a seeker; very near to the object sought
deep,very distant in time or space
yon,distant but within sight (‘yon’ is dialectal)
close,at or within a short distance in space or time or having elements near each other
close,close in relevance or relationship
near,very close in resemblance
boon,very close and convivial
thick,(used informally) associated on close terms
cosy,suggesting connivance
dear,with or in a close or intimate relationship
good,with or in a close or intimate relationship
near,with or in a close or intimate relationship
clad,wearing or provided with clothing; sometimes used in combination
robed,dressed or clothed especially in fine attire; often used in combination
bare,having no clothes on the body
naked,having no clothes on the body
nude,having no clothes on the body
raw,(used informally) completely unclothed
bared,having the head uncovered
clear,free from clouds or mist or haze
fair,free of clouds or rain
foggy,filled or abounding with fog or mist
misty,filled or abounding with fog or mist
dull,darkened with overcast
heavy,darkened by clouds
mass,formed of separate units gathered into a mass or whole
lit,set afire or burning
afire,lighted up by or as by fire or flame
unlit,not set afire or burning
roomy,(of buildings and rooms) having ample space
comfy,providing or experiencing physical well-being or relief (‘comfy’ is informal)
cosy,enjoying or affording comforting warmth and shelter especially in a small space
snug,enjoying or affording comforting warmth and shelter especially in a small space
easy,affording comfort
homey,having a feeling of home; cozy and comfortable
homy,having a feeling of home; cozy and comfortable
bad,feeling physical discomfort or pain (‘tough’ is occasionally used colloquially for ‘bad’)
tough,feeling physical discomfort or pain (‘tough’ is occasionally used colloquially for ‘bad’)
warm,uncomfortable because of possible danger or trouble
rare,not widely known; especially valued for its uncommonness
usual,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure
odd,not easily explained
leaky,prone to communicate confidential information
newsy,prone to friendly informal communication
sign,used of the language of the deaf
vocal,given to expressing yourself freely or insistently
close,inclined to secrecy or reticence about divulging information
mum,failing to speak or communicate etc. when expected to
heavy,(used of soil) compact and fine-grained
tight,packed closely together
loose,not compact or dense in structure or arrangement
light,(used of soil) loose and large-grained in consistency
silty,full of silt
one,eminent beyond or above comparison
alone,radically distinctive and without equal
able,have the skills and qualifications to do things well
inept,generally incompetent and ineffectual
whiny,habitually complaining
whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete
full,constituting the full quantity or extent; complete
total,constituting the full quantity or extent; complete
half,consisting of one of two equivalent parts in value or quantity
whole,(of siblings) having the same parents
half,(of siblings) related through one parent only
sworn,bound by or as if by an oath
rank,complete and without restriction or qualification; sometimes used informally as intensifiers
sheer,complete and without restriction or qualification; sometimes used informally as intensifiers
all,completely given to or absorbed by
blank,complete and absolute
utter,complete and absolute
clean,thorough and without qualification
dead,the complete stoppage of an action
full,complete in extent or degree and in every particular
total,complete in extent or degree and in every particular
good,thorough
sound,complete; thorough
half,partial
broad,broad in scope or content
wide,broad in scope or content
large,having broad power and range and scope
super,including more than a specified category
calm,not agitated; without losing self-possession
cool,marked by calm self-control (especially in trying circumstances); unemotional
dark,marked by difficulty of style or expression
lost,not caught with the senses or the mind
thick,having component parts closely crowded together
dense,having component parts closely crowded together
thin,not dense
blase,nonchalantly unconcerned
brief,concise and succinct
crisp,brief and to the point; effectively cut short
curt,brief and to the point; effectively cut short
terse,brief and to the point; effectively cut short
pithy,concise and full of meaning
windy,using or containing too many words
wordy,using or containing too many words
nisi,not final or absolute
blunt,devoid of any qualifications or disguise or adornment
crude,devoid of any qualifications or disguise or adornment
stark,devoid of any qualifications or disguise or adornment
close,crowded
pent,closely confined
apart,remote and separate physically or socially
cold,unconscious from a blow or shock or intoxication
KO'd,knocked unconscious by a heavy blow
out,knocked unconscious by a heavy blow
fusty,old-fashioned and out of date
big,conspicuous in position or importance
large,conspicuous in position or importance
bold,clear and distinct
gross,conspicuously and outrageously bad or reprehensible
rank,conspicuously and outrageously bad or reprehensible
false,(used especially of persons) not dependable in devotion or affection; unfaithful
smug,marked by excessive complacency or self-satisfaction
leaky,used informally; unable to retain urine
stray,not close together in time
loose,(of a ball in sport) not in the possession or control of any player
wild,deviating widely from an intended course
moot,open to argument or debate
flaky,conspicuously or grossly unconventional or unusual
outre,conspicuously or grossly unconventional or unusual
kinky,(informal) strikingly unconventional
funky,stylish and modern in an unconventional way
spacy,stupefied by (or as if by) some narcotic drug
bushy,resembling a bush in being thickly branched and spreading
baked,(bread and pastries) cooked by dry heat (as in an oven)
burnt,ruined by overcooking
done,cooked until ready to serve
fried,cooked by frying in fat
roast,(meat) cooked by dry heat in an oven
saute,fried quickly in a little fat
raw,not treated with heat to prepare it for eating
rare,(of meat) cooked a short time; still red inside
venal,capable of being corrupted
dirty,unethical or dishonest
hefty,large in amount or extent or degree
tidy,large in amount or extent or degree
real,having substance or capable of being treated as fact; not imaginary
airy,characterized by lightness and insubstantiality; as impalpable or intangible as air
aery,characterized by lightness and insubstantiality; as impalpable or intangible as air
right,free from error; especially conforming to fact or truth
wrong,not correct; not in conformity with fact or truth
false,arising from error
right,correct in opinion or judgment
wrong,based on or acting or judging in error
hick,awkwardly simple and provincial
pokey,small and remote and insignificant
poky,small and remote and insignificant
bound,confined in the bowels
loose,emptying easily or excessively
brusk,marked by rude or peremptory shortness
curt,marked by rude or peremptory shortness
short,marked by rude or peremptory shortness
nice,exhibiting courtesy and politeness
rude,socially incorrect in behavior
civil,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others
rude,lacking civility or good manners
civil,(of divisions of time) legally recognized in ordinary affairs of life
tall,too improbable to admit of belief
acute,of critical importance and consequence
grave,causing fear or anxiety by threatening great harm
dire,fraught with extreme danger; nearly hopeless
royal,invested with royal power as symbolized by a crown
polar,being of crucial importance
cubic,having the shape of a cube; having three dimensions
solid,"having length, breadth and thickness"
flat,having a relatively broad surface in relation to depth or thickness
flat,lacking the expected range or depth; not designed to give an illusion or depth
cut,separated into parts or laid open or penetrated with a sharp edge or instrument
split,(especially of wood) cut or ripped longitudinally with the grain
uncut,not cut
cut,(of pages of a book) having the folds of the leaves trimmed or slit
uncut,(of pages of a book) having adjacent leaves still joined at the fore edge
cut,fashioned or shaped by cutting
hewn,cut or shaped with hard blows of a heavy cutting instrument like an ax or chisel
uncut,not shaped by cutting or trimming
rough,not shaped by cutting or trimming
nosy,offensively curious or inquisitive
nosey,offensively curious or inquisitive
afoot,currently in progress
live,of current relevance
live,in current use or ready for use
back,of an earlier date
dead,no longer having force or relevance
curst,deserving a curse; sometimes used as an intensifier
blame,expletives used informally as intensifiers
damn,expletives used informally as intensifiers
damn,used as expletives
blest,highly favored or fortunate (as e.g. by divine grace)
made,produced by a manufacturing process
bent,of metal e.g.
hurt,damaged; used of inanimate objects or their value
deaf,lacking or deprived of the sense of hearing wholly or in part
crude,conspicuously and tastelessly indecent
gross,conspicuously and tastelessly indecent
fatal,having momentous consequences; of decisive importance
staid,characterized by dignity and propriety
deep,having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination
reefy,full of submerged reefs or sandbanks or shoals
deep,relatively deep or strong; affecting one deeply
heavy,(of sleep) deep and complete
sound,(of sleep) deep and complete
light,(of sleep) easily disturbed
vague,"not precisely limited, determined, or distinguished"
clear,accurately stated or described
coy,showing marked and often playful or irritating evasiveness or reluctance to make a definite or committing statement
one,indefinite in time or position
amort,utterly cast down
grim,filled with melancholy and despondency
blue,filled with melancholy and despondency
down,filled with melancholy and despondency
low,filled with melancholy and despondency
glum,moody and melancholic
high,happy and excited and energetic
tough,substantially made or constructed
short,tending to crumble or break into flakes due to a large amount of shortening
frail,easily broken or damaged or destroyed
needy,"demanding or needing attention, affection, or reassurance to an excessive degree"
tight,demanding strict attention to rules and procedures
stern,severe and unremitting in making demands
easy,not strict
light,demanding little effort; not burdensome
gushy,extravagantly demonstrative
sure,reliable in operation or effect
tried,tested and proved to be reliable
indie,(of pop groups) not affiliated with a major recording company
main,(of a clause) capable of standing syntactically alone as a complete sentence
burnt,destroyed or badly damaged by fire
raped,having been robbed and destroyed by force and violence
kaput,destroyed or killed
gone,destroyed or killed
saved,guarded from injury or destruction
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
tough,making great mental demands; hard to comprehend or solve or believe
nasty,exasperatingly difficult to handle or circumvent
tight,exasperatingly difficult to handle or circumvent
rocky,full of hardship or trials
rough,full of hardship or trials
tough,very difficult; severely testing stamina or resolution
tall,impressively difficult
easy,posing no difficulty; requiring little effort
clean,without difficulties or problems
cushy,not burdensome or demanding; borne or done easily and without hardship
soft,not burdensome or demanding; borne or done easily and without hardship
grand,used of a person's appearance or behavior; befitting an eminent person
silly,inspiring scornful pity
slack,lacking in rigor or strictness
cut,mixed with water
washy,overly diluted; thin and insipid
weak,overly diluted; thin and insipid
white,(of coffee) having cream or milk added
black,(of coffee) without cream or sugar
neat,(of an alcoholic drink) without water
suave,smoothly agreeable and courteous with a degree of sophistication
bland,smoothly agreeable and courteous with a degree of sophistication
soft,willing to negotiate and compromise
bluff,bluntly direct and outspoken but good-natured
blunt,characterized by directness in manner or speech; without subtlety or evasion
frank,characterized by directness in manner or speech; without subtlety or evasion
